step,scenario,T_ms,bubble,moved,rollback
0,static,121.6353154695687,0.272532388223674,0,0
1,static,123.29250936250406,0.2874160974254376,0,0
2,static,121.54767579282701,0.2999067483294696,0,0
3,static,122.86798990368,0.3095867358693595,0,0
4,static,129.4485819136129,0.3301987139711716,0,0
5,static,130.06584059780698,0.32408453598894404,0,0
6,static,128.89515360971205,0.33634227166883357,0,0
7,static,133.92602694366178,0.359182929470541,0,0
8,static,133.42008669581472,0.36446240382411443,0,0
9,static,138.62646794436577,0.3797204256840667,0,0
10,static,145.652798336706,0.39128880768905416,0,0
11,static,141.92282393485095,0.40460049223686256,0,0
12,static,149.0241829255578,0.4202118972264969,0,0
13,static,140.37991441066933,0.3821697378164165,0,0
14,static,147.08830231658453,0.4373271660525646,0,0
15,static,150.81532121586056,0.4413865332745456,0,0
16,static,144.8160365704793,0.44086715962849066,0,0
17,static,155.95288636624994,0.4525359901079056,0,0
18,static,155.20960715560116,0.4466399459307827,0,0
19,static,157.77171511721374,0.4416179994322753,0,0
20,static,164.9589944567385,0.47311393608454066,0,0
21,static,172.03265859813624,0.47157280821658,0,0
22,static,170.5121630601374,0.4698261275366059,0,0
23,static,172.62660917081055,0.46056451246149543,0,0
24,static,163.77871612948368,0.4419322891298362,0,0
25,static,172.87158287415218,0.454186676430561,0,0
26,static,175.6322134721723,0.449334520193602,0,0
27,static,173.06662213029847,0.43898950354058897,0,0
28,static,181.56929721098447,0.45884301101778,0,0
29,static,177.13156456393958,0.4315364630400069,0,0
30,static,187.60057661520298,0.46250277851430344,0,0
31,static,182.60775123630984,0.4517330643068257,0,0
32,static,191.80157848644555,0.4698274694964487,0,0
33,static,196.38560014606156,0.46108336580220677,0,0
34,static,196.02676712282138,0.4576244273088005,0,0
35,static,183.65471391385066,0.4437093041872434,0,0
36,static,206.0655754130868,0.4812546683356739,0,0
37,static,204.40553685963104,0.4572914993767341,0,0
38,static,204.98258637200277,0.4570939073030351,0,0
39,static,206.8921387374149,0.4595852701934706,0,0
40,static,204.19806753196485,0.45906697193160917,0,0
41,static,214.409437391973,0.4686293816069278,0,0
42,static,216.32228585356776,0.4700411970316921,0,0
43,static,220.2001240815523,0.47128105960152766,0,0
44,static,227.18233067135253,0.4761184673252501,0,0
45,static,208.95467504465856,0.4432843066195984,0,0
46,static,223.68847047451717,0.4658639186884528,0,0
47,static,229.23201464308252,0.4711722928747557,0,0
48,static,224.12585455080847,0.46652441720364113,0,0
49,static,229.67416412553723,0.46462833743321075,0,0
50,static,235.30149029991847,0.466302987226315,0,0
51,static,237.68394424240563,0.46967830353202245,0,0
52,static,228.9689881901688,0.45531114453384713,0,0
53,static,237.68213491672574,0.47813979629973435,0,0
54,static,233.97734124306504,0.4615802860741779,0,0
55,static,235.05327169743805,0.45585103070797917,0,0
56,static,242.24557712091178,0.4468052828498207,0,0
57,static,263.4337210485962,0.4735770295963958,0,0
58,static,249.69664730018957,0.4789527126203216,0,0
59,static,242.3812442699116,0.44995831925328433,0,0
60,static,259.518718615259,0.4650226600509074,0,0
61,static,258.70457844525373,0.47284488172055883,0,0
62,static,266.9508215756878,0.4704700222086907,0,0
63,static,276.6826477612195,0.4713341230548598,0,0
64,static,276.6779580360629,0.47679128195839426,0,0
65,static,286.89152778988466,0.49274582776353537,0,0
66,static,281.55691392390105,0.48515751820185815,0,0
67,static,274.6625475305139,0.4757657737767367,0,0
68,static,277.0338108347759,0.4610221010559139,0,0
69,static,284.8064667409257,0.4788671585066633,0,0
70,static,287.75824436099,0.4804346302859749,0,0
71,static,277.55393468528837,0.46296909079942117,0,0
72,static,277.61325764076923,0.45910011900680836,0,0
73,static,275.5841075203766,0.4682731186408353,0,0
74,static,297.2577993555708,0.4903996173810313,0,0
75,static,280.6462211501274,0.46392852749622027,0,0
76,static,302.79961273980626,0.4922325834828225,0,0
77,static,297.40467140626487,0.47275487357283674,0,0
78,static,310.8155947719977,0.4802136118143754,0,0
79,static,294.1710387102955,0.4661054060006695,0,0
80,static,292.62342206318164,0.4605249808154721,0,0
81,static,310.3072848597144,0.4769392575273047,0,0
82,static,306.4661152747716,0.46848121560253586,0,0
83,static,302.2298262499269,0.46355164598181975,0,0
84,static,312.93793013460254,0.486209642837403,0,0
85,static,311.8713403745843,0.4724591596191664,0,0
86,static,329.23203449542603,0.48889455229723044,0,0
87,static,325.6229726473242,0.47042798050662826,0,0
88,static,311.3986769923355,0.46083098142390166,0,0
89,static,328.68863723955036,0.47665958625930516,0,0
90,static,343.1669484623725,0.49012088253417563,0,0
91,static,328.8346276661632,0.4808103162505537,0,0
92,static,333.3636914573658,0.4827609406905323,0,0
93,static,330.6515967907072,0.47621168468338104,0,0
94,static,316.05361134034393,0.4568113542750042,0,0
95,static,332.6645449161703,0.4695339828314459,0,0
96,static,345.82242369115454,0.47735806924178725,0,0
97,static,346.42308833487425,0.47720131525274,0,0
98,static,333.6511509519492,0.4625006530956278,0,0
99,static,345.00640211364544,0.4909003620827781,0,0
100,static,366.8154349766561,0.5053004313097946,0,0
101,static,368.32900992091425,0.49235321651679453,0,0
102,static,350.0419797475806,0.48950112209845376,0,0
103,static,365.9260035913371,0.48715357110687507,0,0
104,static,372.9198835118827,0.49989913639857153,0,0
105,static,369.16873692937213,0.4838889859045614,0,0
106,static,376.56363904316925,0.47801822366775093,0,0
107,static,398.16376256740074,0.49613551541617673,0,0
108,static,365.24649978136785,0.47300381480472686,0,0
109,static,366.82988716067786,0.4651276680199352,0,0
110,static,365.88724454501744,0.47566263731281966,0,0
111,static,362.58466394325717,0.47009980420655406,0,0
112,static,389.5427317887615,0.4753263750071304,0,0
113,static,362.3726712373515,0.4628906902584613,0,0
114,static,397.215525494123,0.49454765784083343,0,0
115,static,377.2705183837628,0.47785235654583447,0,0
116,static,389.7394989311837,0.4925403846663965,0,0
117,static,400.5785762465031,0.4886809592533541,0,0
118,static,386.4708276602132,0.4812889469378029,0,0
119,static,384.08558241723614,0.4939352304761173,0,0
120,static,404.59683378164635,0.48441417652330887,0,0
121,static,397.746759577591,0.47810929159983706,0,0
122,static,416.7426649399662,0.49595885791846206,0,0
123,static,410.02685771617746,0.4755560884826733,0,0
124,static,417.76517252927016,0.4892949447266822,0,0
125,static,413.91246403940346,0.490339825247885,0,0
126,static,401.44874789729977,0.46688922854594195,0,0
127,static,422.34992322996465,0.4840473029596727,0,0
128,static,413.8833178909156,0.47945197156293506,0,0
129,static,394.5704838047478,0.48219098791843296,0,0
130,static,414.67967754870335,0.4859201297680221,0,0
131,static,410.14774750569813,0.4805763794037583,0,0
132,static,452.33661963855275,0.5017600533750186,0,0
133,static,455.81043110720543,0.4955743000493026,0,0
134,static,417.7039764667007,0.4859267433794392,0,0
135,static,442.8760901062322,0.4811500544967835,0,0
136,static,436.3741028507964,0.4792810680059343,0,0
137,static,448.26381889853957,0.49651609348710446,0,0
138,static,429.0914600566494,0.47641278276137833,0,0
139,static,422.21582195682197,0.4643257504868631,0,0
140,static,464.99993116556664,0.4845141218606305,0,0
141,static,442.28864888842594,0.48996615819139444,0,0
142,static,425.6932044335552,0.4783613351674034,0,0
143,static,458.4669694824169,0.47831219367854283,0,0
144,static,463.4333887678369,0.4846792807653598,0,0
145,static,460.78009619667176,0.4961570206915502,0,0
146,static,453.9691661429534,0.48386845395583233,0,0
147,static,456.6562015282304,0.4824129692599356,0,0
148,static,474.5132686312837,0.48845491381872275,0,0
149,static,431.13976882427727,0.4666071232767427,0,0
150,static,464.8632637597222,0.4808484448596553,0,0
151,static,447.8834429582398,0.46614996411699294,0,0
152,static,489.96501054228395,0.48663996775437124,0,0
153,static,470.10518197297074,0.48688714770755737,0,0
154,static,478.88828971298943,0.4959616462901377,0,0
155,static,490.2748507192293,0.4849987430378657,0,0
156,static,474.6332474515357,0.47453283744990604,0,0
